,film,won
311,Melvin and Howard,2
312,A Passage to India,2
313,The Usual Suspects,2
314,Wings,2
315,Midnight Express,2
316,Oklahoma!,2
317,Ship of Fools,2
318,Ryan's Daughter,2
319,La Vie en Rose,2
320,Lost Horizon,2
321,Black Narcissus,2
322,There Will Be Blood,2
323,Precious: Based on the Novel 'Push' by Sapphire,2
324,Nicholas and Alexandra,2
325,A Farewell to Arms,2
326,Sentinels of Silence,2
327,Philadelphia,2
328,Lincoln,2
329,The Good Earth,2
330,Topsy-Turvy,2
331,The Big House,2
332,The Old Man and the Sea,2
333,Ghost,2
334,The Hindenburg,2
335,Coco,2
336,The Exorcist,2
337,One Night of Love,2
338,Tender Mercies,2
339,Little Miss Sunshine,2
340,The Country Girl,2
341,Z,2
342,Boys and Girls,1
343,"Teddy, the Rough Rider",1
344,My Uncle,1
345,Strangers No More,1
346,Children of a Lesser God,1
347,If You Love This Planet,1
348,Tweetie Pie,1
349,The Garden of the Finzi Continis,1
350,The Search,1
351,A Time for Justice,1
352,Seawards the Great Ships,1
353,On the Town,1
354,The Harvey Girls,1
355,Flamenco at 5:15,1
356,Gerald McBoing-Boing,1
357,Lost in Translation,1
358,Krakatoa,1
359,Pulp Fiction,1
360,Women in Love,1
361,The Hateful Eight,1
362,The Official Story,1
363,Anna & Bella,1
364,Peter & the Wolf,1
365,The Hole,1
366,Neptune's Daughter,1
367,Fences,1
368,Ray's Male Heterosexual Dance Hall,1
369,The Moon and the Son: An Imagined Conversation,1
370,Boys Don't Cry,1
371,Frank Film,1
372,Boyhood,1
373,Giant,1
374,Mutiny on the Bounty,1
375,The Wetback Hound,1
376,North West Mounted Police,1
377,The Long Way Home,1
378,The Eleanor Roosevelt Story,1
379,To Be Alive!,1
380,Heaven Is a Traffic Jam on the 405,1
381,The Constant Gardener,1
382,Sing,1
383,Monster,1
384,The War of the Worlds,1
385,Seeds of Destiny,1
386,Ex Machina,1
387,Beginners,1
388,When Magoo Flew,1
389,The Cat Concerto,1
390,The Time Machine,1
391,This Is the Army,1
392,March of the Penguins,1
393,Precious Images,1
394,This above All,1
395,Nowhere in Africa,1
396,Pirates of the Caribbean: Dead Man's Chest,1
397,Elizabeth,1
398,No Man's Land,1
399,The Descendants,1
400,How to Sleep,1
401,The Glenn Miller Story,1
402,Departures,1
403,BlacKkKlansman,1
404,Bear Country,1
405,Session Man,1
406,Babel,1
407,Toy Story 4,1
408,The More the Merrier,1
409,Dirty Dancing,1
410,This Charming Man (Der Er En Yndig Mand),1
411,The Full Monty,1
412,Star Trek,1
413,Frenchman's Creek,1
414,Papa's Delicate Condition,1
415,The Red Balloon,1
416,The Lunch Date,1
417,Thoth,1
418,The Sin of Madelon Claudet,1
419,Almost Famous,1
420,Tin Toy,1
421,Panic in the Streets,1
422,With the Marines at Tarawa,1
423,Robert Frost: A Lover's Quarrel with the World,1
424,The Theory of Everything,1
425,Marooned,1
426,Paper Moon,1
427,First Steps,1
428,The Lost Thing,1
429,Spider-Man 2,1
430,Eternal Sunshine of the Spotless Mind,1
431,The Gay Divorcee,1
432,Legends of the Fall,1
433,The House on 92nd Street,1
434,December 7th,1
435,Inside Out,1
436,Suicide Squad,1
437,Death on the Nile,1
438,Why Man Creates,1
439,A Shocking Accident,1
440,The Titan: Story of Michelangelo,1
441,The Prime of Miss Jean Brodie,1
442,Paperman,1
443,Shine,1
444,Mighty Times: The Children's March,1
445,2001: A Space Odyssey,1
446,Smile Pinki,1
447,Moonbird,1
448,The Man Who Knew Too Much,1
449,Still Alice,1
450,Casals Conducts: 1964,1
451,Undefeated,1
452,Skin,1
453,The Dirty Dozen,1
454,Lady Be Good,1
455,Karl Hess: Toward Liberty,1
456,Babe,1
457,Lend a Paw,1
458,The Untouchables,1
459,Free Solo,1
460,My Cousin Vinny,1
461,Quest,1
462,Being There,1
463,The Help,1
464,Mona Lisa Descending a Staircase,1
465,The Brave One,1
466,The Little Orphan,1
467,Bombshell,1
468,Swing Time,1
469,"I, Tonya",1
470,Amy,1
471,Anchors Aweigh,1
472,The Lady in Number 6: Music Saved My Life,1
473,The Tortoise and the Hare,1
474,The Man Who Skied down Everest,1
475,When Tomorrow Comes,1
476,The Jungle Book,1
477,Leisure,1
478,Here Comes the Groom,1
479,Gods and Monsters,1
480,Taxi to the Dark Side,1
481,Cat Ballou,1
482,Manipulation,1
483,The Divine Lady,1
484,Main Street on the March!,1
485,Alexander's Ragtime Band,1
486,The Critic,1
487,Suspicion,1
488,Of Pups and Puzzles,1
489,The Night of the Iguana,1
490,The Blind Side,1
491,Special Delivery,1
492,The Flight of the Gossamer Condor,1
493,Quiero Ser (I want to be...),1
494,Interviews with My Lai Veterans,1
495,Into the Arms of Strangers: Stories of the Kindertransport,1
496,Birds Anonymous,1
497,Stalag 17,1
498,The Panama Deception,1
499,Logan's Run,1
500,Six Shooter,1
501,Thirty Seconds over Tokyo,1
502,Character,1
503,Who's Who in Animal Land,1
504,The Stone Carvers,1
505,The Hours,1
506,The Wolfman,1
507,Affliction,1
508,Brave,1
509,The Cove,1
510,The Year of Living Dangerously,1
511,The Counterfeiters,1
512,The Mission,1
513,Water Birds,1
514,The Fisher King,1
515,Talk to Her,1
516,This Mechanical Age,1
517,Flowers and Trees,1
518,The Favourite,1
519,I Want to Live!,1
520,A Place to Stand,1
521,The Girl with the Dragon Tattoo,1
522,The Cowboy and the Lady,1
523,True Grit,1
524,Phantom Thread,1
525,Two Soldiers,1
526,La Strada,1
527,Goldfinger,1
528,"They Shoot Horses, Don't They?",1
529,"Toot, Whistle, Plunk and Boom",1
530,The Tin Drum,1
531,Inside Job,1
532,Seven Brides for Seven Brothers,1
533,To Each His Own,1
534,The Discreet Charm of the Bourgeoisie,1
535,A Greek Tragedy,1
536,Angel and Big Joe,1
537,Two Women,1
538,The Ugly Duckling,1
539,The Trip to Bountiful,1
540,"Goodbye, Mr. Chips",1
541,Men against the Arctic,1
542,World of Kids,1
543,Working Girl,1
544,Babette's Feast,1
545,Manhattan Melodrama,1
546,Green Dolphin Street,1
547,Song of the South,1
548,Good Fellas,1
549,The Sunshine Boys,1
550,Bird,1
551,The Neighbors' Window,1
552,Designing Woman,1
553,Thank God It's Friday,1
554,The Omen,1
555,Genocide,1
556,Vicky Cristina Barcelona,1
557,The Great McGinty,1
558,The Facts of Life,1
559,The Crunch Bird,1
560,Death Becomes Her,1
561,City of Wax,1
562,Quiet Please!,1
563,The Last Command,1
564,The Bolero,1
565,Julius Caesar,1
566,All about My Mother,1
567,The Ghost and the Darkness,1
568,The Lavender Hill Mob,1
569,The Big Short,1
570,Project Hope,1
571,Dr. Seuss' How the Grinch Stole Christmas,1
572,Coal Miner's Daughter,1
573,Reap the Wild Wind,1
574,Independence Day,1
575,Yankee Doodle Mouse,1
576,Son of Saul,1
577,Neighbours,1
578,Broken Lance,1
579,The ChubbChubbs!,1
580,A Damsel in Distress,1
581,The Last Days,1
582,For Scent-Imental Reasons,1
583,The Sea around Us,1
584,Sundays and Cybele,1
585,Giuseppina,1
586,The Virgin Spring,1
587,The Vanishing Prairie,1
588,Sophie's Choice,1
589,One Day in September,1
590,Mrs. Doubtfire,1
591,King of Jazz,1
592,When Worlds Collide,1
593,A Note of Triumph: The Golden Age of Norman Corwin,1
594,Thoroughly Modern Millie,1
595,The Last King of Scotland,1
596,America America,1
597,Michael Clayton,1
598,Wall Street,1
599,Vacation from Marriage,1
600,Music by Prudence,1
601,Blue Sky,1
602,"Monsters, Inc.",1
603,Holiday Inn,1
604,O.J.: Made in America,1
605,The Milky Way,1
606,A Little Romance,1
607,The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1
608,The Paper Chase,1
609,When We Were Kings,1
610,Heavenly Music,1
611,Icarus,1
612,Journey into Self,1
613,From Mao to Mozart: Isaac Stern in China,1
614,My Mother Dreams the Satan's Disciples in New York,1
615,I Am a Promise: The Children of Stanton Elementary School,1
616,The Alaskan Eskimo,1
617,Woman of the Year,1
618,Kokoda Front Line!,1
619,If Beale Street Could Talk,1
620,The Private Life of the Gannets,1
621,Harvie Krumpet,1
622,Prelude to War,1
623,Butterfield 8,1
624,Amphibious Fighters,1
625,tom thumb,1
626,Shaft,1
627,Back to the Future,1
628,Every Child,1
629,The Merry Widow,1
630,I'll Cry Tomorrow,1
631,Close Harmony,1
632,The Postman (Il Postino),1
633,Capote,1
634,The Shop on Main Street,1
635,Call Me Madam,1
636,Mississippi Burning,1
637,Piper,1
638,The Resurrection of Broncho Billy,1
639,Murder on a Sunday Morning,1
640,That Mothers Might Live,1
641,Superman,1
642,Harry and the Hendersons,1
643,Kiss of the Spider Woman,1
644,Franz Kafka's It's a Wonderful Life,1
645,Design for Death,1
646,Walk the Line,1
647,Love Me or Leave Me,1
648,The Prince of Egypt,1
649,Kitty Foyle,1
650,The True Story of the Civil War,1
651,Pillow Talk,1
652,Silver Linings Playbook,1
653,The Last of the Mohicans,1
654,RoboCop,1
655,Marjoe,1
656,Benjy,1
657,The Chicken (Le Poulet),1
658,Blue Jasmine,1
659,A Time Out of War,1
660,Key Largo,1
661,Gravity Is My Enemy,1
662,Tin Pan Alley,1
663,Born into Brothels,1
664,Scent of a Woman,1
665,An Occurrence at Owl Creek Bridge,1
666,The Razor's Edge,1
667,Mouse Trouble,1
668,A Separation,1
669,Tango,1
670,Three Orphan Kittens,1
671,Dangerous Moves,1
672,Dangerous,1
673,Ratatouille,1
674,"Now, Voyager",1
675,Hearts and Minds,1
676,The Sea Inside,1
677,Klute,1
678,Underworld,1
679,Through a Glass Darkly,1
680,Sweeney Todd The Demon Barber of Fleet Street,1
681,Spider-Man: Into the Spider-Verse,1
682,The Fantastic Flying Books of Mr. Morris Lessmore,1
683,Total Recall,1
684,The Guns of Navarone,1
685,Molly's Pilgrim,1
686,Let It Be,1
687,Leaving Las Vegas,1
688,The Bridge of San Luis Rey,1
689,Porgy and Bess,1
690,Alice Doesn't Live Here Anymore,1
691,Blossoms in the Dust,1
692,The Imitation Game,1
693,Les Girls,1
694,Paul Robeson: Tribute to an Artist,1
695,Get Out,1
696,In Old Arizona,1
697,Finding Nemo,1
698,Heaven Can Wait,1
699,Indochine,1
700,M*A*S*H,1
701,An American Werewolf in London,1
702,Plymouth Adventure,1
703,The Buddy Holly Story,1
704,Is It Always Right to Be Right?,1
705,"Harlan County, U.S.A.",1
706,Zootopia,1
707,The Great Race,1
708,Witness to War: Dr. Charlie Clements,1
709,Funny Girl,1
710,Evita,1
711,Sons and Lovers,1
712,Quicker 'N a Wink,1
713,Laura,1
714,Champion,1
715,Meredith Willson's The Music Man,1
716,Gate of Hell,1
717,Tarzan,1
718,Sleepy Hollow,1
719,You Light Up My Life,1
720,The Subject Was Roses,1
721,Chernobyl Heart,1
722,Fellini's Casanova,1
723,The Color of Money,1
724,The Hospital,1
725,Return of the Jedi,1
726,Indiana Jones and the Temple of Doom,1
727,Crac,1
728,The Two Mouseketeers,1
729,Cries and Whispers,1
730,Logorama,1
731,Ama Girls,1
732,Black Fox,1
733,Indiana Jones and the Last Crusade,1
734,Skippy,1
735,Monster's Ball,1
736,In the Shadow of the Stars,1
737,Get Out Your Handkerchiefs,1
738,Kentucky,1
739,La Maison en Petits Cubes,1
740,Mr. Hublot,1
741,The Box,1
742,Symphony of a City,1
743,Curfew,1
744,Learning to Skateboard in a Warzone (If You're a Girl),1
745,Herb Alpert and the Tijuana Brass Double Feature,1
746,Nashville,1
747,Becket,1
748,Lilies of the Field,1
749,'Round Midnight,1
750,Bao,1
751,The Battle of Midway,1
752,The Woman in Red,1
753,Inocente,1
754,The Salesman,1
755,Amarcord,1
756,Beyond the Line of Duty,1
757,Men in Black,1
758,Der Fuehrer's Face,1
759,What Ever Happened to Baby Jane?,1
760,Bob's Birthday,1
761,So This Is Harris,1
762,The Bachelor and the Bobby-Soxer,1
763,The Joker Is Wild,1
764,Just Another Missing Kid,1
765,The Enemy Below,1
766,The True Glory,1
767,The Stratton Story,1
768,The Producers,1
769,For Whom the Bell Tolls,1
770,The Phone Call,1
771,Hair Love,1
772,City Slickers,1
773,"Come Back, Little Sheba",1
774,Midnight in Paris,1
775,Teenage Father,1
776,Coquette,1
777,A Patch of Blue,1
778,Rocketman,1
779,Letters from Iwo Jima,1
780,Stutterer,1
781,Dear Diary,1
782,The Farmer's Daughter,1
783,Zero Dark Thirty,1
784,It's Tough to Be a Bird,1
785,Calamity Jane,1
786,Le Mozart des Pickpockets (The Mozart of Pickpockets),1
787,Pride and Prejudice,1
788,Rosemary's Baby,1
789,Pollock,1
790,None but the Lonely Heart,1
791,Ferdinand the Bull,1
792,Balance,1
793,The New Tenants,1
794,Butterflies Are Free,1
795,Number Our Days,1
796,Anne of the Thousand Days,1
797,The River,1
798,Omnibus,1
799,Sweet Bird of Youth,1
800,Period. End of Sentence.,1
801,Hitler Lives?,1
802,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1
803,Johnny Belinda,1
804,Cool Hand Luke,1
805,The Black Stallion,1
806,Educating Peter,1
807,Captains Courageous,1
808,Light in the Window: The Art of Vermeer,1
809,A Thousand Clowns,1
810,I Wanted Wings,1
811,Declaration of Independence,1
812,The Face of Lincoln,1
813,The Fog of War,1
814,The Black Swan,1
815,A Fish Called Wanda,1
816,The Barefoot Contessa,1
817,Down and Out in America,1
818,Bunny,1
819,Vice,1
820,Shane,1
821,Dead Man Walking,1
822,The Fugitive,1
823,Inglourious Basterds,1
824,Harvey,1
825,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1
826,The Hurricane,1
827,Since You Went Away,1
828,The Divorcee,1
829,A River Runs through It,1
830,With Byrd at the South Pole,1
831,The Country Cousin,1
832,Air Force,1
833,Wings over Mt. Everest,1
834,Airport,1
835,The Invaders,1
836,Sabrina,1
837,Munro,1
838,Missing,1
839,Nature's Half Acre,1
840,Heureux Anniversaire (Happy Anniversary),1
841,Crisis Hotline: Veterans Press 1,1
842,Penny Wisdom,1
843,Kon-Tiki,1
844,The Golden Fish,1
845,Shrek,1
846,The Living Desert,1
847,The Anderson Platoon,1
848,The Awful Truth,1
849,Wonder Boys,1
850,South Pacific,1
851,Topkapi,1
852,Princess O'Rourke,1
853,Mother Wore Tights,1
854,"Arise, My Love",1
855,Sundae in New York,1
856,Wonder Man,1
857,Mephisto,1
858,Dr. Jekyll and Mr. Hyde,1
859,Geri's Game,1
860,The Danish Poet,1
861,Limelight,1
862,Breaking the Sound Barrier,1
863,"The Adventures of Priscilla, Queen of the Desert",1
864,All That Money Can Buy,1
865,Mediterraneo,1
866,The White Helmets,1
867,She Wore a Yellow Ribbon,1
868,Winnie the Pooh and the Blustery Day,1
869,20 Feet from Stardom,1
870,Father and Daughter,1
871,My Gal Sal,1
872,Maya Lin: A Strong Clear Vision,1
873,CitizenFour,1
874,The Adventures of Don Juan,1
875,The Secret in Their Eyes,1
876,The Bells of St. Mary's,1
877,Quest for Fire,1
878,"Yesterday, Today and Tomorrow",1
879,Anastasia,1
880,Searching for Sugar Man,1
881,The Pride of the Yankees,1
882,The V.I.P.s,1
883,The Johnstown Flood,1
884,The Appointments of Dennis Jennings,1
885,Bridge of Spies,1
886,Divorce--Italian Style,1
887,Sense and Sensibility,1
888,Mildred Pierce,1
889,Ersatz (The Substitute),1
890,The Alamo,1
891,Transatlantic,1
892,The Dollar Bottom,1
893,Daybreak in Udi,1
894,Interrupted Melody,1
895,Desert Victory,1
896,Wrestling Swordfish,1
897,Save the Tiger,1
898,Princeton: A Search for Answers,1
899,Closely Watched Trains,1
900,The Nutty Professor,1
901,Some Like It Hot,1
902,Facing Your Danger,1
903,The Seventh Veil,1
904,Dumbo,1
905,The Scoundrel,1
906,The Great Caruso,1
907,In Beaver Valley,1
908,The Bespoke Overcoat,1
909,A Girl in the River: The Price of Forgiveness,1
910,The Third Man,1
911,Star in the Night,1
912,One Way Passage,1
913,Helium,1
914,Scared Straight!,1
915,The Human Comedy,1
916,King Gimp,1
917,Feast,1
918,Bullitt,1
919,Days of Wine and Roses,1
920,Marriage Story,1
921,One-Eyed Men Are Kings,1
922,With a Song in My Heart,1
923,The Horse with the Flying Tail,1
924,The Bridges at Toko-Ri,1
925,The Fighting Lady,1
926,The Picture of Dorian Gray,1
927,Annie Get Your Gun,1
928,Helen Keller in Her Story,1
929,A Little Night Music,1
930,Freeheld,1
931,The Golden Compass,1
932,Song without End (The Story of Franz Liszt),1
933,The Rains Came,1
934,West Bank Story,1
935,The Pink Phink,1
936,A Story of Healing,1
937,Dead Poets Society,1
938,Citizen Kane,1
939,Wild Wings,1
940,The Great American Cowboy,1
941,Harry and Tonto,1
942,The Sandpiper,1
943,Why Korea?,1
944,Morning Glory,1
945,Once,1
946,The Charge of the Light Brigade,1
947,Black Rider (Schwarzfahrer),1
948,The Crying Game,1
949,One Hundred Men and a Girl,1
950,The Wrong Trousers,1
951,Selma,1
952,The Public Pays,1
953,Shampoo,1
954,The Snake Pit,1
955,Summer of '42,1
956,Murder on the Orient Express,1
957,The Man Who Planted Trees,1
958,Nine from Little Rock,1
959,Never on Sunday,1
960,The High and the Mighty,1
961,The Queen,1
962,Purple Rain,1
963,Dersu Uzala,1
964,Defending Our Lives,1
965,Her,1
966,Prizzi's Honor,1
967,"Captain Carey, U.S.A.",1
968,Born Yesterday,1
969,The Assault,1
970,Jacques-Yves Cousteau's World without Sun,1
971,Breaking Away,1
972,The Lives of a Bengal Lancer,1
973,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1
974,Atonement,1
975,Arthur Rubinstein - The Love of Life,1
976,Bedknobs and Broomsticks,1
977,Grand Canyon,1
978,Days of Waiting,1
979,Splendor in the Grass,1
980,Fantastic Beasts and Where to Find Them,1
981,The Silent Child,1
982,Crash Dive,1
983,Climbing the Matterhorn,1
984,Elizabeth: The Golden Age,1
985,Cinema Paradiso,1
986,Spielzeugland (Toyland),1
987,The Dark Angel,1
988,Speedy Gonzales,1
989,Irma La Douce,1
990,Sons of Liberty,1
991,Glass,1
992,The Broadway Melody,1
993,The Graduate,1
994,Young at Heart,1
995,Bullets over Broadway,1
996,Moscow Does Not Believe in Tears,1
997,Sling Blade,1
998,Mister Magoo's Puddle Jumper,1
999,I Won't Play,1
1000,Hustle & Flow,1
1001,Closed Mondays,1
1002,the accountant,1
1003,Big Hero 6,1
1004,"It's a Mad, Mad, Mad, Mad World",1
1005,The Patriot,1
1006,Blithe Spirit,1
1007,Room,1
1008,Bowling for Columbine,1
1009,The Great Waltz,1
1010,Alien,1
1011,Viva Zapata!,1
1012,Spirited Away,1
1013,Body and Soul,1
1014,Road to Perdition,1
1015,Lieberman in Love,1
1016,Blood on the Sun,1
1017,Tsotsi,1
1018,Henry V,1
1019,"Women--for America, for the World",1
1020,The Redwoods,1
1021,The Muppets,1
1022,A Boy and His Dog,1
1023,Yentl,1
1024,Adaptation,1
1025,Give Me Liberty,1
1026,Waikiki Wedding,1
1027,White Nights,1
1028,Gosford Park,1
1029,Marie-Louise,1
1030,Work Experience,1
1031,A Christmas Carol,1
1032,Belle Epoque,1
1033,A Year toward Tomorrow,1
1034,"Hello, Frisco, Hello",1
1035,The Big Country,1
1036,Cover Girl,1
1037,The War Game,1
1038,Two Arabian Knights,1
1039,Broadway Melody of 1936;,1
1040,Journey of Hope,1
1041,Father Goose,1
1042,Marie Antoinette,1
1043,Dear Basketball,1
1044,For the Birds,1
1045,Lovers and Other Strangers,1
1046,The Age of Innocence,1
1047,Charade,1
1048,The Reader,1
1049,The Fortune Cookie,1
1050,Woodstock,1
1051,Lili,1
1052,The Nights of Cabiria,1
1053,American Sniper,1
1054,The Motorcycle Diaries,1
1055,Mister Roberts,1
1056,Madame Rosa,1
1057,Viva Villa!,1
1058,Toward Independence,1
1059,Ryan,1
1060,8 Mile,1
1061,Lust for Life,1
1062,Broken Rainbow,1
1063,Albert Schweitzer,1
1064,Shanghai Express,1
1065,Iris,1
1066,Jerry Maguire,1
1067,Van Gogh,1
1068,Anna Karenina,1
1069,Thelma & Louise,1
1070,So Much for So Little,1
1071,The Goodbye Girl,1
1072,The Westerner,1
